"Time (s)","Pressure (hPa)"
2.107358974E2,9.773356934E2
2.107858974E2,9.773348999E2
2.108358974E2,9.773343506E2
2.108858974E2,9.773338623E2
2.109358974E2,9.773331299E2
2.109858974E2,9.773324585E2
2.110358974E2,9.773317871E2
2.110858974E2,9.773311768E2
2.111358974E2,9.773304443E2
2.111858974E2,9.773297729E2
2.112358974E2,9.773291016E2
2.112858974E2,9.773283691E2
2.113358974E2,9.773274536E2
2.113858974E2,9.773267212E2
2.114358974E2,9.773262329E2
2.114858974E2,9.773255615E2
2.115358974E2,9.773247070E2
2.115858974E2,9.773238525E2
2.116358974E2,9.773231201E2
2.116858974E2,9.773223877E2
2.117358974E2,9.773216553E2
2.117858974E2,9.773210449E2
2.118358974E2,9.773206787E2
2.118858974E2,9.773201294E2
2.119358974E2,9.773193970E2
2.119858974E2,9.773187866E2
2.120358974E2,9.773180542E2
2.120858974E2,9.773173218E2
2.121358974E2,9.773165894E2
2.121858974E2,9.773159180E2
2.122358974E2,9.773154297E2
2.122858974E2,9.773150635E2
2.123358974E2,9.773145142E2
2.123858974E2,9.773139038E2
2.124358974E2,9.773135986E2
2.124858974E2,9.773129883E2
2.125358974E2,9.773124390E2
2.125858974E2,9.773118896E2
2.126358974E2,9.773114014E2
2.126858974E2,9.773109741E2
2.127358974E2,9.773104858E2
2.127858974E2,9.773097534E2
2.128358974E2,9.773091431E2
2.128858974E2,9.773087158E2
2.129358974E2,9.773082886E2
2.129858974E2,9.773079224E2
2.130358974E2,9.773076782E2
2.130858974E2,9.773072510E2
2.131358974E2,9.773068237E2
2.131858974E2,9.773064575E2
2.132358974E2,9.773060303E2
2.132858974E2,9.773056030E2
2.133358974E2,9.773052979E2
2.133858974E2,9.773046875E2
2.134358974E2,9.773043213E2
2.134858974E2,9.773043213E2
2.135358974E2,9.773043213E2
2.135858974E2,9.773043213E2
2.136358974E2,9.773043213E2
2.136858974E2,9.773043213E2
2.137358974E2,9.773042603E2
2.137858974E2,9.773041992E2
2.138358974E2,9.773041992E2
2.138858974E2,9.773041992E2
2.139358974E2,9.773041992E2
2.139858974E2,9.773041992E2
2.140358974E2,9.773041992E2
2.140858974E2,9.773041992E2
2.141358974E2,9.773041992E2
2.141858974E2,9.773041992E2
2.142358974E2,9.773041992E2
2.142858974E2,9.773041992E2
2.143358974E2,9.773041992E2
