"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.363788358E2,2.031032944E1,6.276874542E1,1.814277649E0
6.364288358E2,2.003923416E1,6.402790833E1,-2.073669434E-2
6.364788358E2,2.299745941E1,6.444230652E1,2.098991394E0
6.365288358E2,2.477044678E1,6.622795105E1,2.653640747E0
6.365788358E2,2.362404060E1,6.478532410E1,1.821075439E0
6.366288358E2,2.535652542E1,6.579876709E1,1.685279846E0
6.366788358E2,2.438983536E1,6.808216858E1,2.628395081E0
6.367288358E2,2.829639053E1,6.982579041E1,1.665054321E0
6.367788358E2,2.746194077E1,6.855644226E1,5.536575317E-1
6.368288358E2,3.099405098E1,6.822748566E1,1.848419189E0
6.368788358E2,3.254706192E1,6.893766785E1,4.560890198E-1
6.369288358E2,3.659374619E1,6.988044739E1,1.600822449E0
6.369788358E2,3.775780487E1,6.886765289E1,-4.740028381E-1
6.370288358E2,3.901497269E1,6.954838562E1,-6.102676392E-1
6.370788358E2,3.992198944E1,6.861985779E1,1.925849915E0
6.371288358E2,4.217442322E1,6.797036743E1,-4.229011536E-1
6.371788358E2,4.177600861E1,6.902230072E1,1.239028931E0
6.372288358E2,4.342998505E1,6.815768433E1,1.404190063E0
6.372788358E2,4.381726837E1,6.629461670E1,2.128730774E0
6.373288358E2,4.646790314E1,6.719066620E1,2.142578125E0
6.373788358E2,4.734546280E1,6.613601685E1,2.302841187E0
6.374288358E2,4.998007584E1,6.705331421E1,6.383666992E-1
6.374788358E2,5.074921799E1,6.316918182E1,2.229080200E0
6.375288358E2,5.254893112E1,6.199182892E1,2.958564758E0
6.375788358E2,5.400037766E1,6.019380951E1,2.293853760E0
6.376288358E2,5.443902206E1,5.941889954E1,3.425590515E0
6.376788358E2,5.634015656E1,5.749203491E1,2.207221985E0
6.377288358E2,5.600114059E1,5.669391632E1,2.493110657E0
6.377788358E2,5.588604355E1,5.387329102E1,3.224273682E0
6.378288358E2,5.605902481E1,5.451551819E1,2.379364014E0
6.378788358E2,5.713902283E1,5.422921753E1,4.070571899E0
6.379288358E2,5.745198059E1,5.081288910E1,4.113517761E0
6.379788358E2,5.667717361E1,5.111626434E1,2.145263672E0
6.380288358E2,5.618823242E1,5.030606842E1,2.849411011E0
6.380788358E2,5.798804092E1,4.929376984E1,2.877822876E0
6.381288358E2,5.627842712E1,4.858036804E1,3.989097595E0
6.381788358E2,5.783820343E1,4.944676208E1,2.594993591E0
6.382288358E2,5.778123093E1,4.787050629E1,3.731575012E0
6.382788358E2,5.744622421E1,4.706707001E1,4.437057495E0
6.383288358E2,5.786208344E1,4.615718079E1,3.892234802E0
6.383788358E2,5.586642456E1,4.622721863E1,3.733261108E0
6.384288358E2,5.586642456E1,4.622721863E1,3.733261108E0
6.384788358E2,5.664936066E1,4.315069580E1,3.217224121E0
6.385288358E2,5.664936066E1,4.315069580E1,3.217224121E0
6.385788358E2,5.437681580E1,4.366166687E1,4.169143677E0
6.386288358E2,5.663841248E1,4.266967010E1,4.201553345E0
6.386788358E2,5.674774933E1,4.174448395E1,3.793930054E0
6.387288358E2,5.628738022E1,4.188747406E1,3.228713989E0
6.387788358E2,5.432411957E1,4.257527161E1,3.622093201E0
6.388288358E2,5.534217453E1,4.138003540E1,3.086158752E0
6.388788358E2,5.549752808E1,4.155009460E1,2.526275635E0
6.389288358E2,5.455489731E1,4.087403870E1,3.364509583E0
